fsa,electric,hev_sedan,hev_suv,ice_sedan,ice_suv,ice_van/pickup
G8V,0.0128465934777364,0.0159520963556184,0.0083283997954096,0.45179154993601,0.4164801183878319,0.0946012420473936
G8W,0.0147998293458111,0.0172811935872455,0.007650991979055,0.4536196032032138,0.4199247817296311,0.0867236001550433
G8X,0.0,0.0,0.0,1.0,0.0,0.0
G8Y,0.0138006504589629,0.016453857020299,0.0087511091730102,0.4911561791549784,0.4182891674817452,0.051549036711004
G8Z,0.0093025907054701,0.0140907344393715,0.0058518581463313,0.57333905227883,0.3527707931129442,0.0446449713170526
G9A,0.0081126082597257,0.0122009157099726,0.0052889810846429,0.5672847776893275,0.3471548909073897,0.0599578263489413
G9B,0.0176062812207504,0.0147505965700001,0.0086309447866662,0.4397305933290723,0.43046932812821,0.0888122559653007
G9C,0.0172921618072194,0.0154169108401356,0.0093349508346884,0.4489939727428831,0.4510773991534971,0.0578846046215761
G9H,0.0157376176395961,0.0148542823469555,0.0059852690436854,0.4454382274577745,0.4000450573044948,0.1179395462074934
G9K,0.0,0.0,0.0,0.0,1.0,0.0
G9M,0.0,0.0,0.0,0.0,0.0,0.0
G9N,0.0079851630847813,0.0123319836705482,0.0059800469875098,0.5155805288043862,0.3707529331979926,0.0873693442547815
G9P,0.0104793414390101,0.015497283654899,0.0092293242311869,0.4896674619778116,0.3959886999163073,0.0791378887807849
G9R,0.010979409409358,0.0153054659606809,0.020415476414441,0.4136601343666998,0.3928885882505754,0.1467509255982446
G9S,0.0623001870708292,0.0623001870708292,0.0623001870708292,0.0623001870708292,0.0623001870708292,0.6884990646458536
G9T,0.0106262920576999,0.0103743679639897,0.0068004107956463,0.4670765284766781,0.3965627935984892,0.1085596071074966
G9V,0.0,0.0,0.0,1.0,0.0,0.0
G9W,0.0579710144927536,0.0579710144927536,0.0579710144927536,0.0507246376811594,0.7173913043478262,0.0579710144927536
G9X,0.0018975324380294,0.005738076221038,0.0072298806330453,0.3021772039899714,0.4157934667562784,0.2671638399616372
G9Y,0.0,0.0,0.0,1.0,0.0,0.0
G9Z,0.0,0.0,0.0,1.0,0.0,0.0
H0A,0.0702341137123745,0.0702341137123745,0.0702341137123745,0.0636496655518394,0.6619983277591974,0.0636496655518394
H0B,0.137803955184861,0.137803955184861,0.137803955184861,0.3109802240756948,0.137803955184861,0.137803955184861
H0C,0.0,0.0,0.0,1.0,0.0,0.0
H0E,0.0,0.0,0.0,1.0,0.0,0.0
H0H,0.0211640211640211,0.0211640211640211,0.0211640211640211,0.8941798941798942,0.0211640211640211,0.0211640211640211
H0J,0.1757119128244464,0.1757119128244464,0.1757119128244464,0.1214404358777676,0.1757119128244464,0.1757119128244464
H0K,0.0077134986225895,0.0068870523415977,0.0077134986225895,0.3258953168044076,0.6440771349862259,0.0077134986225895
H0L,0.0,0.0,0.0,1.0,0.0,0.0
H0M,0.0,0.0075295839658003,0.0067529806589747,0.3224257819435783,0.4021629584420232,0.2611286949896232
H0N,0.1165307668709682,0.1165307668709682,0.1165307668709682,0.4173461656451589,0.1165307668709682,0.1165307668709682
H0P,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
H0R,0.0,0.0,0.0,0.0,1.0,0.0
H0S,0.0113131313131313,0.0113131313131313,0.0113131313131313,0.4779797979797978,0.4767676767676767,0.0113131313131313
H0V,0.0,0.0,0.0,1.0,0.0,0.0
H0W,0.0242424242424242,0.0242424242424242,0.0242424242424242,0.8787878787878787,0.0242424242424242,0.0242424242424242
H0X,0.0655737704918033,0.0655737704918033,0.0655737704918033,0.0594262295081967,0.6782786885245903,0.0655737704918033
H1A,0.0125004614684521,0.0174286308292344,0.0095577870612778,0.503103805292784,0.4189610443136479,0.0384482710346035
H1B,0.0086854543519512,0.0122521113185618,0.0073209120638742,0.5111555465725033,0.4131767682071978,0.0474092074859115
H1C,0.0143746642418357,0.0140989249154981,0.0124996551026692,0.4577818966252163,0.4725242830620381,0.0287205760527424
H1E,0.0081432385869466,0.0090700335651169,0.0097290858262909,0.4893057392967888,0.4585258121343293,0.0252260905905273
H1G,0.0034004316896998,0.0109020330327299,0.0076553755010709,0.5124725691614991,0.4424360106426776,0.0231335799723226
H1H,0.0039075996960226,0.0102922409454312,0.0066820951205087,0.5042314440031817,0.4525257994810857,0.0223608207537699
H1J,0.0071491169041067,0.013057297902319,0.0109896063496671,0.5338220534757626,0.4174553049040662,0.017526620464078
H1K,0.0124284076249054,0.0156365857022627,0.0121227532488914,0.4823568191972012,0.4555901457053788,0.0218652885213602
H1L,0.0068112187212985,0.0145309227556037,0.0095826875723287,0.5133715394227066,0.4217668900723684,0.0339367414556937
H1M,0.0071912437654581,0.0163864379766351,0.0097177238270283,0.5074277530644826,0.4432800459133109,0.0159967954530848
H1N,0.0088219025454938,0.0158646521936476,0.0085423510151518,0.5319228711162876,0.4088712156137513,0.0259770075156676
H1P,0.0043654146354702,0.0078688545047529,0.0064618438636501,0.4890095529950707,0.4742051889139869,0.0180891450870689
H1R,0.0036390844204954,0.0078640140197261,0.0059325961212923,0.487465489550434,0.4749644692926614,0.0201343465953906
H1S,0.0045148482909827,0.0088931240004784,0.0055584917929017,0.5239991086552068,0.443590236603001,0.0134441906574292
H1T,0.0125176459389374,0.0154410005271813,0.0124085941996661,0.5168578922589274,0.4253141274846122,0.0174607395906755
H1V,0.0101479281841426,0.0171938535035102,0.0084018193711841,0.5323587365631945,0.4144387712233275,0.0174588911546409
H1W,0.0073229565749665,0.0153970260427169,0.0071736422579613,0.5349614071101021,0.4079172768804886,0.0272276911337643
H1X,0.0105965372052461,0.0171504527206832,0.0100152149292872,0.5257078476391027,0.4177556062639909,0.0187743412416896
H1Y,0.014533008403828,0.018798571219218,0.013596282513342,0.4901811591173721,0.4447554732772683,0.0181355054689714
H1Z,0.0018651750282955,0.009208784567831,0.0058191498629634,0.4971748969846848,0.4681179184911047,0.0178140750651203
H2A,0.0053271700448394,0.0106337162474433,0.0062867019494064,0.5133316345411659,0.442497061160292,0.0219237160568529
H2B,0.0094583681462097,0.0133470606224739,0.0117574214801991,0.5029662879767763,0.4440081065475405,0.0184627552268002
H2C,0.0147915466934342,0.0160211370045497,0.014876641272025,0.4849064472695183,0.4503474426015816,0.019056785158891
H2E,0.0086791782770195,0.0104120399548374,0.0092412539161487,0.5272643629374381,0.4250979476769414,0.0193052172376147
H2G,0.0126899333150303,0.0200017694830436,0.0140763021289697,0.5018030454860709,0.4288987360387776,0.0225302135481076
H2H,0.0119377720165737,0.0199100664090805,0.0131114588149464,0.4847092697734039,0.4484800018634096,0.0218514311225858
H2J,0.016502503046743,0.0193647269771623,0.0204792931573128,0.4485801515323529,0.4753177514626114,0.0197555738238175
H2K,0.0069300408767672,0.0164820815540617,0.006460558157039,0.542588675672243,0.4073633148367471,0.0201753289031418
H2L,0.0189787568657374,0.0251905279994637,0.0129614732426098,0.4910604502466897,0.4376006207053978,0.0142081709401012
H2M,0.0151557303068857,0.0172719784941263,0.0113862921743597,0.5237060254074123,0.4163535067349229,0.0161264668822929
H2N,0.00669443724436,0.0087130168998341,0.0035591353927367,0.5200598757019026,0.4427521293772306,0.0182214053839359
H2P,0.0131432865718239,0.0159727650253963,0.0072636060936968,0.5084985673336814,0.4335685431395117,0.0215532318358897
H2R,0.0133843728448739,0.0227943817556188,0.0139432739385009,0.5050786984343923,0.4281455614442587,0.0166537115823551
H2S,0.0144798735473666,0.0190687634762009,0.0122679579006001,0.4821338547236861,0.4517942094248207,0.0202553409273254
H2T,0.0147384487600648,0.0190461921863981,0.0147741868524192,0.4443832610786655,0.4889418973422483,0.0181160137802039
H2V,0.0322871451153959,0.0182839123029489,0.0208438940020444,0.383569054438067,0.5335519685753762,0.0114640255661673
H2W,0.0145820020311091,0.0186524240774815,0.0217314172943499,0.4521891201772253,0.4763893908932222,0.0164556455266118
H2X,0.0152065304261658,0.0211051152743692,0.0097962459633474,0.5227364443341135,0.4208972865551924,0.0102583774468116
H2Y,0.0276063133602673,0.0261500611272941,0.0183953980337923,0.4385237502886555,0.473519992488183,0.0158044847018076
H2Z,0.0218145331044734,0.0193189466231032,0.0084410800581257,0.4631518669702659,0.4774256465095515,0.00984792673448
H3A,0.048772636521825,0.0170496054531333,0.0233191262425446,0.4183473953207581,0.4845726945954808,0.0079385418662579
H3B,0.0284011990074339,0.0250744345291608,0.0185366167371304,0.4571146518778426,0.4628591050892753,0.0080139927591566
H3C,0.0256032242245177,0.0195326340459196,0.012583791528187,0.5079893242617922,0.4263171108117155,0.0079739151278677
H3E,0.026274960233034,0.0193162542499596,0.0142132157808809,0.4600223626771503,0.4726476743948895,0.0075255326640853
H3G,0.0211354758712468,0.0179598060407014,0.0192181901020668,0.4734070900212384,0.4581184212533796,0.0101610167113666
H3H,0.0132711888523147,0.0181795610699125,0.0134425569740165,0.5581466000854269,0.3898912777394596,0.0070688152788695
H3J,0.0155972865378359,0.0174953309071888,0.0113466365608454,0.4808343779799684,0.4634518722424867,0.0112744957716747
H3K,0.018641392596462,0.0130006975834148,0.0087650304790174,0.4725274262475713,0.4621668794329538,0.0248985736605803
H3L,0.0167352483289132,0.0165578799346117,0.0119419815480461,0.4990849604703021,0.4434258096977584,0.0122541200203681
H3M,0.0084690848698589,0.010388253917994,0.0096824929830556,0.5304956085519396,0.4273181725860652,0.0136463870910866
H3N,0.0033768930236113,0.0086691294347611,0.0042737959616749,0.5783450643804352,0.3922070811441043,0.0131280360554131
