,CFSAUID
21998,G0A
22010,G0A
22050,G0A
22051,G0A
22158,G0A
22171,G0A
22246,G0A
22248,G0A
22254,G0A
22255,G0A
22256,G0A
22281,G0A
22301,G0A
22302,G0A
22303,G0A
22304,G0A
22344,G0A
22379,G0A
22380,G0A
22381,G0A
22409,G0A
22410,G0A
22412,G0A
22504,G0A
22505,G0A
22514,G0A
22515,G0A
22530,G0A
22531,G0A
22532,G0A
22533,G0A
22538,G0A
22540,G0A
22560,G0A
22561,G0A
22562,G0A
22563,G0A
22608,G0A
22730,G0A
22731,G0A
22793,G0A
22814,G0A
22815,G0A
22857,G0A
22858,G0A
22948,G0A
22949,G0A
22957,G0A
22963,G0A
22964,G0A
22992,G0A
23027,G0A
23028,G0A
23118,G0A
23119,G0A
23120,G0A
23121,G0A
23122,G0A
23158,G0A
23159,G0A
23160,G0A
23161,G0A
23162,G0A
23235,G0A
23236,G0A
23247,G0A
23271,G0A
23272,G0A
23278,G0A
23302,G0A
23303,G0A
23304,G0A
23305,G0A
23368,G0A
23369,G0A
23370,G0A
23416,G0A
23417,G0A
23422,G0A
23428,G0A
23429,G0A
23454,G0A
23488,G0A
23489,G0A
23490,G0A
23558,G0A
23563,G0A
23709,G0A
23744,G0A
23745,G0A
23746,G0A
23773,G0A
23774,G0A
23775,G0A
23776,G0A
23785,G0A
23786,G0A
23787,G0A
23788,G0A
23913,G0A
23914,G0A
23943,G0A
23946,G0A
23960,G0A
23961,G0A
23962,G0A
23987,G0A
23988,G0A
23989,G0A
23990,G0A
24004,G0A
24006,G0A
24008,G0A
24009,G0A
24084,G0A
24085,G0A
24098,G0A
24099,G0A
24126,G0A
24127,G0A
24128,G0A
24150,G0A
24151,G0A
24230,G0A
24231,G0A
24232,G0A
24233,G0A
24234,G0A
24235,G0A
24289,G0A
24290,G0A
24316,G0A
24317,G0A
24318,G0A
24507,G0A
24508,G0A
24519,G0A
24520,G0A
24544,G0A
24548,G0A
24549,G0A
24551,G0A
24556,G0A
24557,G0A
24558,G0A
24568,G0A
24601,G0A
24602,G0A
24603,G0A
24604,G0A
24644,G0A
24645,G0A
24646,G0A
24647,G0A
24648,G0A
24700,G0A
24701,G0A
24712,G0A
24735,G0A
24736,G0A
24751,G0A
24752,G0A
24753,G0A
24754,G0A
24781,G0A
24782,G0A
24854,G0A
24855,G0A
24983,G0A
24984,G0A
25029,G0A
25030,G0A
25033,G0A
25034,G0A
25092,G0A
25093,G0A
25122,G0A
25170,G0A
25190,G0A
25221,G0A
25248,G0A
25249,G0A
25250,G0A
25254,G0A
25259,G0A
25262,G0A
25264,G0A
25315,G0A
25318,G0A
25352,G0A
25368,G0A
25369,G0A
25370,G0A
25429,G0A
25431,G0A
25435,G0A
25441,G0A
25442,G0A
25447,G0A
25448,G0A
25546,G0A
25550,G0A
25551,G0A
25558,G0A
25559,G0A
25570,G0A
25583,G0A
25610,G0A
25612,G0A
25613,G0A
25614,G0A
25675,G0A
25676,G0A
25680,G0A
25681,G0A
25739,G0A
25740,G0A
25741,G0A
25764,G0A
25769,G0A
25777,G0A
25778,G0A
25783,G0A
25822,G0A
25833,G0A
25834,G0A
25835,G0A
25836,G0A
25857,G0A
25858,G0A
25861,G0A
25862,G0A
25925,G0A
25926,G0A
25934,G0A
25935,G0A
26001,G0A
26002,G0A
26027,G0A
26046,G0A
26048,G0A
26049,G0A
26075,G0A
26077,G0A
26078,G0A
26079,G0A
26125,G0A
26126,G0A
26127,G0A
26128,G0A
26129,G0A
26160,G0A
26161,G0A
26162,G0A
26163,G0A
26164,G0A
26241,G0A
26242,G0A
26258,G0A
26264,G0A
26265,G0A
26274,G0A
26293,G0A
26294,G0A
26295,G0A
26426,G0A
26427,G0A
26428,G0A
26458,G0A
26459,G0A
26460,G0A
26512,G0A
26513,G0A
26535,G0A
26536,G0A
26537,G0A
26559,G0A
26560,G0A
26561,G0A
26593,G0A
26594,G0A
26595,G0A
26611,G0A
26612,G0A
26798,G0A
26799,G0A
26863,G0A
26864,G0A
26873,G0A
26875,G0A
26877,G0A
26908,G0A
26909,G0A
26920,G0A
26993,G0A
27011,G0A
27012,G0A
27013,G0A
27014,G0A
27019,G0A
27020,G0A
27021,G0A
27022,G0A
27023,G0A
27024,G0A
27025,G0A
27035,G0A
27036,G0A
27037,G0A
27038,G0A
27039,G0A
27040,G0A
27070,G0A
27082,G0A
27083,G0A
27084,G0A
27085,G0A
27086,G0A
27095,G0A
27096,G0A
27113,G0A
27114,G0A
27146,G0A
27187,G0A
27188,G0A
27222,G0A
27223,G0A
27238,G0A
27240,G0A
27248,G0A
27249,G0A
27282,G0A
27284,G0A
27285,G0A
27339,G0A
27340,G0A
27341,G0A
27342,G0A
27343,G0A
27369,G0A
27370,G0A
27392,G0A
27393,G0A
27394,G0A
27395,G0A
27396,G0A
27397,G0A
27410,G0A
27439,G0A
27444,G0A
27453,G0A
27479,G0A
27480,G0A
27481,G0A
27482,G0A
27495,G0A
27527,G0A
27529,G0A
27530,G0A
27545,G0A
27546,G0A
27551,G0A
27552,G0A
27586,G0A
27587,G0A
27594,G0A
27598,G0A
27599,G0A
27688,G0A
27714,G0A
27716,G0A
27760,G0A
27761,G0A
27767,G0A
27773,G0A
27790,G0A
27791,G0A
27792,G0A
27807,G0A
27856,G0A
27868,G0A
27891,G0A
27892,G0A
28013,G0A
28014,G0A
28019,G0A
28020,G0A
28022,G0A
28057,G0A
28076,G0A
28077,G0A
28084,G0A
28085,G0A
28123,G0A
28124,G0A
28152,G0A
28153,G0A
28155,G0A
28158,G0A
28188,G0A
28189,G0A
28190,G0A
28192,G0A
28193,G0A
28194,G0A
28242,G0A
28243,G0A
28245,G0A
28246,G0A
28285,G0A
28286,G0A
28303,G0A
28326,G0A
28327,G0A
28328,G0A
28341,G0A
28353,G0A
28360,G0A
28361,G0A
28362,G0A
28363,G0A
28380,G0A
28426,G0A
28450,G0A
28451,G0A
28452,G0A
28454,G0A
28455,G0A
28456,G0A
28457,G0A
28505,G0A
28506,G0A
28514,G0A
28515,G0A
28516,G0A
28593,G0A
28594,G0A
28598,G0A
28599,G0A
28678,G0A
28680,G0A
28684,G0A
28698,G0A
28707,G0A
28708,G0A
28709,G0A
28710,G0A
28711,G0A
28713,G0A
28714,G0A
28715,G0A
28716,G0A
28739,G0A
28740,G0A
28745,G0A
28755,G0A
28834,G0A
28835,G0A
28853,G0A
28854,G0A
28862,G0A
28889,G0A
28890,G0A
28909,G0A
28937,G0A
28940,G0A
28945,G0A
28946,G0A
28949,G0A
28979,G0A
29002,G0A
29040,G0A
29042,G0A
29043,G0A
29090,G0A
29138,G0A
29149,G0A
29150,G0A
29151,G0A
29196,G0A
29199,G0A
29221,G0A
29243,G0A
29321,G0A
29323,G0A
29339,G0A
29349,G0A
29350,G0A
29352,G0A
29373,G0A
29374,G0A
29375,G0A
29376,G0A
29395,G0A
29397,G0A
29418,G0A
29473,G0A
29474,G0A
29554,G0A
29583,G0A
29585,G0A
29633,G0A
29634,G0A
29635,G0A
29678,G0A
29680,G0A
29695,G0A
29697,G0A
29698,G0A
29699,G0A
29700,G0A
29701,G0A
29749,G0A
29756,G0A
29757,G0A
29758,G0A
29764,G0A
29765,G0A
29766,G0A
29767,G0A
29787,G0A
29800,G0A
29801,G0A
29826,G0A
29847,G0A
29848,G0A
29895,G0A
29896,G0A
29898,G0A
29926,G0A
29990,G0A
29991,G0A
30000,G0A
30001,G0A
30002,G0A
30003,G0A
30016,G0A
30026,G0A
30067,G0A
30068,G0A
30069,G0A
30134,G0A
30147,G0A
30322,G3C
30323,G3C
30382,G3C
30403,G3C
30404,G3C
30408,G3C
30435,G3C
30436,G3C
30438,G3C
30439,G3C
30516,G3C
30517,G3C
30530,G3C
30597,G3C
30624,G3C
30626,G3C
30627,G3C
30664,G3C
30729,G0A
30731,G0A
30732,G0A
30734,G0A
30735,G0A
30736,G0A
30737,G0A
30738,G0A
30739,G0A
30740,G0A
30741,G0A
30742,G0A
30751,G0A
30752,G0A
30753,G0A
30756,G0A
30757,G0A
30758,G0A
30759,G0A
30768,G0A
30769,G0A
30800,G0A
30801,G0A
30808,G0A
30946,G0A
30947,G0A
30948,G0A
30999,G0A
31000,G0A
31001,G0A
31066,G0A
31075,G0A
31091,G0A
31109,G0A
31152,G0A
31153,G0A
31261,G0A
31262,G0A
31263,G0A
31264,G0A
31265,G0A
31285,G0A
31286,G0A
31287,G0A
31288,G0A
31289,G0A
31297,G0A
31298,G0A
31299,G0A
31300,G0A
31301,G0A
31354,G3S
31355,G3S
31369,G0A
31420,G0A
31421,G0A
31439,G0A
31440,G0A
31441,G0A
31442,G0A
31443,G0A
31465,G0A
31466,G0A
31467,G0A
31468,G0A
